step_size,update_interval,learning_rate,avg_alpha,ess_omega,ess_h,cov_hist,step_hist
"[0.01, 0.01]",100,0.01,0.2165,523.8350164947889,999.4178039457255,"[array([[3.67576223e-04, 6.45035111e-05],
       [6.45035111e-05, 8.05675465e-04]]), array([[4.08508097e-04, 4.21639984e-05],
       [4.21639984e-05, 6.46360798e-04]]), array([[5.77411070e-04, 1.46193066e-05],
       [1.46193066e-05, 5.19701945e-04]]), array([[5.98264640e-04, 3.03331352e-06],
       [3.03331352e-06, 4.17255739e-04]]), array([[ 5.63663213e-04, -4.53438117e-06],
       [-4.53438117e-06,  3.35286772e-04]]), array([[ 5.84610636e-04, -1.28520121e-05],
       [-1.28520121e-05,  2.70086379e-04]]), array([[ 5.77702808e-04, -1.75091585e-05],
       [-1.75091585e-05,  2.17463966e-04]]), array([[ 5.74108781e-04, -2.21547057e-05],
       [-2.21547057e-05,  1.75741829e-04]]), array([[ 5.65883606e-04, -2.52288504e-05],
       [-2.52288504e-05,  1.42270299e-04]]), array([[ 5.51656171e-04, -2.90685010e-05],
       [-2.90685010e-05,  1.15619916e-04]]), array([[ 5.42580075e-04, -3.05132005e-05],
       [-3.05132005e-05,  9.41263878e-05]]), array([[ 5.52264208e-04, -3.36969334e-05],
       [-3.36969334e-05,  7.68484058e-05]]), array([[ 5.51584150e-04, -3.48176048e-05],
       [-3.48176048e-05,  6.30641772e-05]]), array([[ 5.33126234e-04, -3.46461117e-05],
       [-3.46461117e-05,  5.19362085e-05]]), array([[ 5.47142376e-04, -3.70393815e-05],
       [-3.70393815e-05,  4.33661755e-05]]), array([[ 5.36269839e-04, -3.79962787e-05],
       [-3.79962787e-05,  3.64291493e-05]]), array([[ 5.44283194e-04, -3.95139695e-05],
       [-3.95139695e-05,  3.07799675e-05]]), array([[ 5.49186469e-04, -3.94835339e-05],
       [-3.94835339e-05,  2.61806371e-05]]), array([[ 5.59810266e-04, -4.06906114e-05],
       [-4.06906114e-05,  2.25847029e-05]]), array([[ 5.47948864e-04, -3.97124452e-05],
       [-3.97124452e-05,  1.96611699e-05]])]","[[0.019172277462828, 0.02838442292023184], [0.020211583245337558, 0.025423626773016884], [0.02402937931066685, 0.02279697228534699], [0.024459448897187642, 0.020426838690086366], [0.023741592462303545, 0.018310837560300088], [0.02417872279705772, 0.016434304940590602], [0.024035448984826065, 0.014746659485246612], [0.02396056721292327, 0.013256765408488769], [0.023788308168746653, 0.011927711400536993], [0.023487361949542946, 0.010752670201689555], [0.023293348307175516, 0.009701875476047355], [0.023500302289783736, 0.008766322253023729], [0.02348582870578996, 0.007941295689765402], [0.02308952649817589, 0.007206678047129826], [0.023391074711359473, 0.006585299952898632], [0.02315750071012647, 0.006035656490508194], [0.023329877717556905, 0.0055479696755719845], [0.023434727843974556, 0.005116701775219853], [0.02366030992919025, 0.004752336570868162], [0.023408307587889907, 0.004434091782560937]]"
"[0.01, 0.01]",100,0.05,0.21999999999999997,668.5475901831537,1152.332774645371,"[array([[2.24675435e-04, 4.30923676e-05],
       [4.30923676e-05, 7.78934641e-04]]), array([[2.40256184e-04, 3.10511069e-05],
       [3.10511069e-05, 6.24316289e-04]]), array([[2.70962496e-04, 1.99163652e-05],
       [1.99163652e-05, 5.00783615e-04]]), array([[3.47219274e-04, 6.02128360e-06],
       [6.02128360e-06, 4.02363347e-04]]), array([[ 4.05748023e-04, -6.03947968e-06],
       [-6.03947968e-06,  3.23672246e-04]]), array([[ 3.88929099e-04, -8.44306240e-06],
       [-8.44306240e-06,  2.59952753e-04]]), array([[ 4.19271329e-04, -1.57675220e-05],
       [-1.57675220e-05,  2.09836792e-04]]), array([[ 4.65723228e-04, -2.38750219e-05],
       [-2.38750219e-05,  1.70036638e-04]]), array([[ 4.79015168e-04, -2.78334228e-05],
       [-2.78334228e-05,  1.37744312e-04]]), array([[ 5.03309803e-04, -3.31031407e-05],
       [-3.31031407e-05,  1.12206564e-04]]), array([[ 4.77208906e-04, -3.16610873e-05],
       [-3.16610873e-05,  9.10836690e-05]]), array([[ 4.96615992e-04, -3.35992246e-05],
       [-3.35992246e-05,  7.46438325e-05]]), array([[ 5.43739370e-04, -3.71902497e-05],
       [-3.71902497e-05,  6.16039815e-05]]), array([[ 5.71288890e-04, -4.05347592e-05],
       [-4.05347592e-05,  5.12998856e-05]]), array([[ 5.50864202e-04, -3.99247454e-05],
       [-3.99247454e-05,  4.26554864e-05]]), array([[ 5.51984930e-04, -4.14413000e-05],
       [-4.14413000e-05,  3.58707218e-05]]), array([[ 5.55895272e-04, -4.17198358e-05],
       [-4.17198358e-05,  3.04976789e-05]]), array([[ 5.87028135e-04, -4.30958603e-05],
       [-4.30958603e-05,  2.60808883e-05]]), array([[ 5.83616840e-04, -4.19596653e-05],
       [-4.19596653e-05,  2.25708492e-05]]), array([[ 5.73003475e-04, -4.20139280e-05],
       [-4.20139280e-05,  1.99141515e-05]])]","[[0.014989177265287656, 0.027909400589114945], [0.015500199487112431, 0.02498632203913215], [0.016460938498134153, 0.022378195076691025], [0.018633820711251553, 0.02005899664793395], [0.020143187997649765, 0.017990893408782602], [0.019721285436087636, 0.01612305036517756], [0.020476116066902837, 0.014485744427823901], [0.02158062158391234, 0.013039809723628575], [0.021886415143779016, 0.011736452280088683], [0.022434567142160262, 0.010592759961640951], [0.021845111716555028, 0.009543776452894889], [0.022284882580218622, 0.008639666227523369], [0.02331821969511672, 0.007848820386664075], [0.023901650365774192, 0.007162393845517988], [0.023470496414223586, 0.006531116777872878], [0.023494359536804392, 0.005989217125827957], [0.02357743140467052, 0.005522470364570235], [0.02422866350100109, 0.005106945108929007], [0.024158163010556982, 0.004750878780942505], [0.02393749098604848, 0.004462527483682888]]"
"[0.01, 0.01]",100,0.1,0.21080000000000002,536.5520896689554,910.5912149869648,"[array([[ 2.39246402e-04, -5.53524077e-06],
       [-5.53524077e-06,  8.48663865e-04]]), array([[ 3.56433279e-04, -1.77109475e-05],
       [-1.77109475e-05,  6.80959847e-04]]), array([[ 4.26464342e-04, -2.25477226e-05],
       [-2.25477226e-05,  5.46039924e-04]]), array([[ 4.32194332e-04, -2.58642550e-05],
       [-2.58642550e-05,  4.38402185e-04]]), array([[ 5.09481085e-04, -3.26735764e-05],
       [-3.26735764e-05,  3.52490311e-04]]), array([[ 5.16698559e-04, -3.38451582e-05],
       [-3.38451582e-05,  2.83466671e-04]]), array([[ 4.97936345e-04, -3.24670955e-05],
       [-3.24670955e-05,  2.28109791e-04]]), array([[ 5.27617751e-04, -3.57888270e-05],
       [-3.57888270e-05,  1.84404837e-04]]), array([[ 5.36494039e-04, -3.63226788e-05],
       [-3.63226788e-05,  1.49046088e-04]]), array([[ 5.15644169e-04, -3.58745596e-05],
       [-3.58745596e-05,  1.20831175e-04]]), array([[ 5.57320464e-04, -3.79050758e-05],
       [-3.79050758e-05,  9.82998948e-05]]), array([[ 5.70115756e-04, -3.94322969e-05],
       [-3.94322969e-05,  8.02178108e-05]]), array([[ 5.40226099e-04, -3.74606127e-05],
       [-3.74606127e-05,  6.56871991e-05]]), array([[ 5.73086623e-04, -4.04405201e-05],
       [-4.04405201e-05,  5.47063809e-05]]), array([[ 5.66526830e-04, -4.14298113e-05],
       [-4.14298113e-05,  4.54615760e-05]]), array([[ 5.67298899e-04, -4.12643990e-05],
       [-4.12643990e-05,  3.79576366e-05]]), array([[ 5.85618531e-04, -4.30165078e-05],
       [-4.30165078e-05,  3.22265074e-05]]), array([[ 6.04036968e-04, -4.39766412e-05],
       [-4.39766412e-05,  2.73941786e-05]]), array([[ 5.92846482e-04, -4.17431153e-05],
       [-4.17431153e-05,  2.33710565e-05]]), array([[ 5.62028056e-04, -4.01234763e-05],
       [-4.01234763e-05,  2.03586153e-05]])]","[[0.015467591989923079, 0.029131835939227663], [0.018879440651409594, 0.026095207348275768], [0.020651013102710506, 0.02336749716678892], [0.020789284067394744, 0.020938055908115465], [0.02257168769005831, 0.018774725321315446], [0.02273100436572695, 0.016836468474889482], [0.022314487331894485, 0.015103303969709428], [0.02296993145086701, 0.013579574274222657], [0.023162340974214622, 0.01220844330657733], [0.02270779973977388, 0.010992323462269549], [0.023607635722001245, 0.009914630339382691], [0.02387709689142563, 0.008956439627290825], [0.023242764441026693, 0.008104763978054541], [0.02393922770072289, 0.00739637620181017], [0.023801824094252785, 0.006742520003385383], [0.023818037251257338, 0.0061609769187781676], [0.02419955641568359, 0.005676839565241635], [0.02457716354895853, 0.005233944838012138], [0.024348438996934403, 0.00483436206082203], [0.02370713091762463, 0.004512052232348847]]"
"[0.01, 0.01]",200,0.01,0.16725,380.17823902100037,724.1500390437578,"[array([[2.09581995e-04, 4.39417117e-05],
       [4.39417117e-05, 5.44809634e-04]]), array([[3.65456332e-04, 1.79217699e-05],
       [1.79217699e-05, 4.38504097e-04]]), array([[3.91017738e-04, 5.75666631e-06],
       [5.75666631e-06, 3.52464034e-04]]), array([[ 4.25029506e-04, -3.12459589e-06],
       [-3.12459589e-06,  2.83552074e-04]]), array([[ 4.47209664e-04, -1.12069080e-05],
       [-1.12069080e-05,  2.28428194e-04]]), array([[ 5.08032444e-04, -2.07012743e-05],
       [-2.07012743e-05,  1.84757253e-04]]), array([[ 5.42812852e-04, -2.67945246e-05],
       [-2.67945246e-05,  1.49663422e-04]]), array([[ 5.60280051e-04, -3.13177597e-05],
       [-3.13177597e-05,  1.21710476e-04]]), array([[ 5.50406582e-04, -3.29176824e-05],
       [-3.29176824e-05,  9.90725689e-05]]), array([[ 5.37681424e-04, -3.29888363e-05],
       [-3.29888363e-05,  8.08149146e-05]])]","[[0.014476947029018509, 0.023341157518186932], [0.0191169122014855, 0.02094048941540681], [0.019774168451854385, 0.018774025501485946], [0.020616243753273474, 0.016839004555836735], [0.02114733231413442, 0.01511384115116047], [0.02253957506838021, 0.013592544022839175], [0.023298344407416766, 0.012233700239521122], [0.023670235540096552, 0.011032247118883273], [0.023460745561296972, 0.009953520425493464], [0.023187958595207152, 0.008989711597424965]]"
"[0.01, 0.01]",200,0.05,0.15905,347.0245416273021,640.8660231105993,"[array([[2.38813552e-04, 2.23959479e-05],
       [2.23959479e-05, 5.81966926e-04]]), array([[2.86977172e-04, 1.10968394e-05],
       [1.10968394e-05, 4.67197682e-04]]), array([[ 4.48844471e-04, -6.90091730e-06],
       [-6.90091730e-06,  3.76103401e-04]]), array([[ 4.60550197e-04, -1.25833397e-05],
       [-1.25833397e-05,  3.02515212e-04]]), array([[ 5.17646726e-04, -2.17237197e-05],
       [-2.17237197e-05,  2.43866615e-04]]), array([[ 5.25409131e-04, -2.61305889e-05],
       [-2.61305889e-05,  1.96821722e-04]]), array([[ 5.71716027e-04, -3.21170892e-05],
       [-3.21170892e-05,  1.59324603e-04]]), array([[ 5.88848826e-04, -3.60842864e-05],
       [-3.60842864e-05,  1.29359365e-04]]), array([[ 6.15835551e-04, -3.97192876e-05],
       [-3.97192876e-05,  1.05343941e-04]]), array([[ 6.23743664e-04, -4.19279027e-05],
       [-4.19279027e-05,  8.60976209e-05]])]","[[0.015453593508605066, 0.024123990666852207], [0.016940400584048707, 0.021614756116186306], [0.021185949839309104, 0.01939338549880078], [0.02146043329852251, 0.0173929644439843], [0.022751851053569427, 0.015616229204867318], [0.02292180471150307, 0.014029316508714093], [0.02391058400361639, 0.012622384978139084], [0.024266207480895165, 0.011373625868126756], [0.02481603414811483, 0.010263719648603271], [0.024974860642238503, 0.009278880368159687]]"
"[0.01, 0.01]",200,0.1,0.16274999999999998,434.7722949660216,795.3174767377805,"[array([[3.35688675e-04, 1.37762148e-05],
       [1.37762148e-05, 5.58353781e-04]]), array([[3.95791192e-04, 1.19493643e-06],
       [1.19493643e-06, 4.48263213e-04]]), array([[ 4.20504319e-04, -7.10659933e-06],
       [-7.10659933e-06,  3.60200544e-04]]), array([[ 4.90081884e-04, -1.50222778e-05],
       [-1.50222778e-05,  2.89798251e-04]]), array([[ 5.46184230e-04, -2.38372796e-05],
       [-2.38372796e-05,  2.33749761e-04]]), array([[ 5.50698696e-04, -2.82775716e-05],
       [-2.82775716e-05,  1.88713321e-04]]), array([[ 5.50952291e-04, -3.15915802e-05],
       [-3.15915802e-05,  1.52694712e-04]]), array([[ 5.58955977e-04, -3.53830578e-05],
       [-3.53830578e-05,  1.24002039e-04]]), array([[ 5.44780802e-04, -3.56689517e-05],
       [-3.56689517e-05,  1.00782359e-04]]), array([[ 5.55435941e-04, -3.74772646e-05],
       [-3.74772646e-05,  8.23236738e-05]])]","[[0.0183218087248421, 0.023629510811327956], [0.019894501557096326, 0.02117222739070757], [0.020506201962338554, 0.018978950021949718], [0.022137793124470624, 0.017023461786829043], [0.023370584723401224, 0.015288877041435127], [0.02346697032185816, 0.013737296707142785], [0.023472372930704553, 0.012356970173165036], [0.023642249819503254, 0.011135620257197885], [0.02334053988973206, 0.010039041759498097], [0.02356768848617191, 0.009073239433373468]]"
"[0.01, 0.01]",300,0.01,0.16399999999999998,322.3524037652353,667.1820509595098,"[array([[ 3.48995943e-04, -2.60434563e-05],
       [-2.60434563e-05,  4.46947281e-04]]), array([[ 3.74659152e-04, -2.76729544e-05],
       [-2.76729544e-05,  3.59037755e-04]]), array([[ 4.10876300e-04, -3.11956066e-05],
       [-3.11956066e-05,  2.89031089e-04]]), array([[ 4.27532424e-04, -3.24027139e-05],
       [-3.24027139e-05,  2.32731015e-04]]), array([[ 4.82560316e-04, -3.66614809e-05],
       [-3.66614809e-05,  1.88143263e-04]]), array([[ 4.97748959e-04, -3.80977445e-05],
       [-3.80977445e-05,  1.52244046e-04]])]","[[0.018681433112787034, 0.02114112771282163], [0.01935611406032119, 0.018948291618160456], [0.020270083876374502, 0.017000914368289603], [0.020676857197287707, 0.015255524071475688], [0.021967255530989466, 0.013716532466324106], [0.022310288177411874, 0.01233872140687579]]"
"[0.01, 0.01]",300,0.05,0.1594,296.46382635479733,635.9653714110967,"[array([[ 2.41887774e-04, -1.95689733e-06],
       [-1.95689733e-06,  4.20596871e-04]]), array([[ 3.00063060e-04, -8.60658770e-06],
       [-8.60658770e-06,  3.37914226e-04]]), array([[ 3.62659248e-04, -1.57123020e-05],
       [-1.57123020e-05,  2.71868723e-04]]), array([[ 4.28294889e-04, -2.33444026e-05],
       [-2.33444026e-05,  2.19342297e-04]]), array([[ 4.67544796e-04, -2.83874321e-05],
       [-2.83874321e-05,  1.77193792e-04]]), array([[ 4.92054097e-04, -3.20540801e-05],
       [-3.20540801e-05,  1.43509661e-04]])]","[[0.015552741684030438, 0.020508458529572088], [0.01732232836656439, 0.018382443418382206], [0.019043614361737644, 0.016488442101246288], [0.02069528663643983, 0.014810209229793744], [0.02162278418719802, 0.01331141583797516], [0.02218229242259045, 0.011979551775642288]]"
"[0.01, 0.01]",300,0.1,0.16455000000000003,295.29303807988,604.7541821805189,"[array([[2.24563221e-04, 1.35099044e-05],
       [1.35099044e-05, 4.30775445e-04]]), array([[2.88429937e-04, 3.11018821e-06],
       [3.11018821e-06, 3.46154764e-04]]), array([[ 3.18964125e-04, -3.98058532e-06],
       [-3.98058532e-06,  2.78349672e-04]]), array([[ 3.79447405e-04, -1.24801537e-05],
       [-1.24801537e-05,  2.24552607e-04]]), array([[ 4.15599372e-04, -1.82296333e-05],
       [-1.82296333e-05,  1.81274445e-04]]), array([[ 4.44260083e-04, -2.37219798e-05],
       [-2.37219798e-05,  1.46801900e-04]])]","[[0.014985433629570595, 0.020755130581159298], [0.01698322515451932, 0.018605234842352318], [0.01785956675823695, 0.016683814663497956], [0.019479409763901678, 0.01498507948335748], [0.020386254475526777, 0.013463819834948534], [0.02107747810429794, 0.012116183399404713]]"
"[0.02, 0.02]",100,0.01,0.19370000000000004,591.6108505286821,964.2065689070201,"[array([[ 7.23899772e-04, -1.25373152e-05],
       [-1.25373152e-05,  9.13828903e-04]]), array([[ 6.87747753e-04, -1.64409624e-05],
       [-1.64409624e-05,  7.32599944e-04]]), array([[ 7.40005102e-04, -2.78690189e-05],
       [-2.78690189e-05,  5.88208343e-04]]), array([[ 7.58217143e-04, -3.43304669e-05],
       [-3.43304669e-05,  4.72575083e-04]]), array([[ 7.32218195e-04, -3.56256204e-05],
       [-3.56256204e-05,  3.79279132e-04]]), array([[ 6.77350008e-04, -3.50472530e-05],
       [-3.50472530e-05,  3.04849791e-04]]), array([[ 6.13001952e-04, -3.25517704e-05],
       [-3.25517704e-05,  2.45172031e-04]]), array([[ 6.10571769e-04, -3.40716534e-05],
       [-3.40716534e-05,  1.97698068e-04]]), array([[ 5.82658830e-04, -3.47520213e-05],
       [-3.47520213e-05,  1.59753520e-04]]), array([[ 6.15642941e-04, -3.86192109e-05],
       [-3.86192109e-05,  1.29617792e-04]]), array([[ 6.16502705e-04, -4.07515126e-05],
       [-4.07515126e-05,  1.05455802e-04]]), array([[ 6.15172210e-04, -4.23390951e-05],
       [-4.23390951e-05,  8.61234950e-05]]), array([[ 5.95735572e-04, -4.16313428e-05],
       [-4.16313428e-05,  7.05618448e-05]]), array([[ 5.87529886e-04, -4.09651197e-05],
       [-4.09651197e-05,  5.80275654e-05]]), array([[ 5.72458948e-04, -4.07494075e-05],
       [-4.07494075e-05,  4.79797921e-05]]), array([[ 5.72733348e-04, -4.24652124e-05],
       [-4.24652124e-05,  4.01134819e-05]]), array([[ 5.60809735e-04, -4.31712165e-05],
       [-4.31712165e-05,  3.41437178e-05]]), array([[ 5.59141461e-04, -4.39752398e-05],
       [-4.39752398e-05,  2.91456251e-05]]), array([[ 5.50579494e-04, -4.30583283e-05],
       [-4.30583283e-05,  2.49101824e-05]]), array([[ 5.45907774e-04, -4.21448938e-05],
       [-4.21448938e-05,  2.15101629e-05]])]","[[0.026905385564465534, 0.03022960308903835], [0.02622494524503741, 0.02706658352223139], [0.027203034792203686, 0.024253006880977125], [0.027535743009974616, 0.02173879213053052], [0.027059530585123857, 0.019475090049973304], [0.026025948748063413, 0.01745994819231796], [0.024758876225915803, 0.015657970194523498], [0.024709750478099406, 0.014060514484938063], [0.02413832699836063, 0.012639363901139466], [0.02481215308998128, 0.011384981000495113], [0.024829472502803127, 0.010269167531483733], [0.024802665386343303, 0.00928027451310966], [0.024407694926913037, 0.008400109806371788], [0.024239015784978748, 0.007617582645755412], [0.023926114354065983, 0.006926744696592534], [0.023931847988569087, 0.006333520500824952], [0.02368142172017835, 0.00584326260005306], [0.023646172217228294, 0.00539866882225314], [0.023464430405007862, 0.004991010161533406], [0.023364669359636884, 0.00463790501265768]]"
"[0.02, 0.02]",100,0.05,0.19375,525.6389181927112,888.0631021209938,"[array([[8.96726342e-04, 4.28536606e-05],
       [4.28536606e-05, 9.41661801e-04]]), array([[8.94533114e-04, 2.39161979e-05],
       [2.39161979e-05, 7.55205005e-04]]), array([[8.07487807e-04, 1.02165603e-05],
       [1.02165603e-05, 6.05962026e-04]]), array([[ 7.85746481e-04, -1.49227353e-06],
       [-1.49227353e-06,  4.86296509e-04]]), array([[ 7.52610849e-04, -9.64596377e-06],
       [-9.64596377e-06,  3.90524428e-04]]), array([[ 7.16941210e-04, -1.64610353e-05],
       [-1.64610353e-05,  3.14171681e-04]]), array([[ 6.66929158e-04, -1.96256265e-05],
       [-1.96256265e-05,  2.52819655e-04]]), array([[ 6.99128324e-04, -2.61314385e-05],
       [-2.61314385e-05,  2.03856324e-04]]), array([[ 6.86080004e-04, -3.00642870e-05],
       [-3.00642870e-05,  1.64749112e-04]]), array([[ 6.49308345e-04, -3.17659486e-05],
       [-3.17659486e-05,  1.33437389e-04]]), array([[ 6.29359089e-04, -3.47210678e-05],
       [-3.47210678e-05,  1.08631881e-04]]), array([[ 6.27129979e-04, -3.64394634e-05],
       [-3.64394634e-05,  8.84616207e-05]]), array([[ 6.23983781e-04, -3.83853734e-05],
       [-3.83853734e-05,  7.25024296e-05]]), array([[ 6.37853811e-04, -4.11846927e-05],
       [-4.11846927e-05,  5.98429207e-05]]), array([[ 6.41390767e-04, -4.30985866e-05],
       [-4.30985866e-05,  4.96554147e-05]]), array([[ 6.23732835e-04, -4.38540620e-05],
       [-4.38540620e-05,  4.15445744e-05]]), array([[ 6.36393045e-04, -4.47740796e-05],
       [-4.47740796e-05,  3.50833421e-05]]), array([[ 6.30684346e-04, -4.49914155e-05],
       [-4.49914155e-05,  2.99137915e-05]]), array([[ 6.17286349e-04, -4.44225975e-05],
       [-4.44225975e-05,  2.56043997e-05]]), array([[ 6.05502921e-04, -4.46714652e-05],
       [-4.46714652e-05,  2.22608302e-05]])]","[[0.029945389327250105, 0.030686508458650886], [0.029908746443860264, 0.027480993525585536], [0.0284163299286389, 0.024616295953299852], [0.028031169815195583, 0.022052131613285453], [0.027433753820890344, 0.01976169091555853], [0.026775757871380746, 0.017724888738956918], [0.025824971592968832, 0.015900303619343636], [0.02644103485133593, 0.014277826303088218], [0.026193128949912506, 0.012835463050948716], [0.025481529483800933, 0.011551510254842034], [0.025087030285071553, 0.010422661872919316], [0.025042563353803202, 0.009405403803926075], [0.0249796673589641, 0.008514835850294153], [0.02525576787656816, 0.0077358206234397564], [0.025325693806335137, 0.007046659827552118], [0.02497464383520732, 0.006445508079498882], [0.025226831843677654, 0.005923119285196332], [0.025113429601914837, 0.005469350192444766], [0.024845248022096724, 0.005060079025371674], [0.024606968943101878, 0.004718138423757624]]"
